what,kind,bundleId,bundleVersion,description,time
activated,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336221565126
closed,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336221565126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221565167
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336221565902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221569467
started,bundle,com.google.gdt.eclipse.designer.gpe,2.5.0.r37x201201030222,"com.google.gdt.eclipse.designer.gpe",1336221570518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336221570957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221570984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221571945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221725793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221730415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221734221
opened,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336221734368
activated,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336221734419
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1336221757921
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1336221758202
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1336221761053
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1336221764106
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1336221764272
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1336221764431
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1336221766823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336221792646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336221795131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221804499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221807756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221808537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221833677
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1336221837316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336221843847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336221847654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221850846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221852309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336221853510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221858657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221871531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221873767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221877249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221883539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221885870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336221892198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221917274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221932835
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336221934457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221938078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221947062
opened,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336221947212
activated,editor,com.google.gwt.eclipse.core,2.6.0.v201205021203-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1336221947265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221949502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336221951159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336221953676
error,log,,,"Unexpected error while validating Content.java",1336221953805
error,log,,,"Unexpected error while validating Content.java",1336221953814
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1336221954729
error,log,,,"Exception occurred in reconcile participant",1336221954729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1336221960187
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1336221960742
error,log,,,"Exception occurred in reconcile participant",1336221960742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1336221960763
